country,project_name,app_name,environment,repository_url,build_mode,usage,ocp_label,image_version,token,namespace,token_status,cpu_limits,cpu_request,memory_limits,memory_request,replicas,drs_enabled,volume_paths,secret_names,configmap_names
Argentina,ArgNewApp Project,ArgNewApp,dev,https://github.com/empresa/argnewapp,Release,external,labelArgNewApp,1.0,token-argnewappdev-111,namespace-argnewappdev,internal,500m,250m,512Mi,256Mi,2,True,/dataArgNewApp,secretArgNewApp,mapArgNewApp
Argentina,ArgNewApp Project,ArgNewApp,qa,https://github.com/empresa/argnewapp,Release,external,labelArgNewApp,1.0,token-argnewappuat-222,namespace-argnewappuat,internal,600m,300m,1Gi,512Mi,3,True,/dataArgNewApp,secretArgNewApp,mapArgNewApp
Argentina,ArgNewApp Project,ArgNewApp,master,https://github.com/empresa/argnewapp,Release,external,labelArgNewApp,1.0,token-argnewappprd-333,namespace-argnewappprd,external,700m,350m,2Gi,1Gi,4,True,/dataArgNewApp,secretArgNewApp,mapArgNewApp
Argentina,Melilamc Project,Melilamc,dev,https://github.com/empresa/melilamc,Release,internal,labelMelilamc,1.0,token-melilamcdev-123,namespace-melilamcdev,internal,800m,400m,2Gi,1Gi,5,False,/dataMelilamc,secretMelilamc,mapMelilamc
Chile,InventarioChl Project,InventarioChl,dev,https://github.com/empresa/inventariochl,Release,external,labelInventarioChl,1.0,token-inventariochldev-lll,namespace-inventariochldev,internal,500m,250m,512Mi,256Mi,2,True,/dataInventarioChl,secretInventarioChl,mapInventarioChl
Chile,InventarioChl Project,InventarioChl,qa,https://github.com/empresa/inventariochl,Release,external,labelInventarioChl,1.0,token-inventariochluat-mmm,namespace-inventariochluat,internal,600m,300m,1Gi,512Mi,3,True,/dataInventarioChl,secretInventarioChl,mapInventarioChl
Chile,InventarioChl Project,InventarioChl,master,https://github.com/empresa/inventariochl,Release,external,labelInventarioChl,1.0,token-inventariochlprd-nnn,namespace-inventariochlprd,external,700m,350m,2Gi,1Gi,4,True,/dataInventarioChl,secretInventarioChl,mapInventarioChl
Chile,ChlNewApp Project,ChlNewApp,dev,https://github.com/empresa/chilenewapp,Release,internal,labelChlNewApp,1.0,token-chlnewappdev-444,namespace-chlnewappdev,internal,800m,400m,2Gi,1Gi,5,False,/dataChlNewApp,secretChlNewApp,mapChlNewApp
Colombia,WebviewCol Project,WebviewCol,dev,https://github.com/empresa/webviewcol,Release,external,labelWebviewCol,1.0,token-webviewcoldev-aaa,namespace-webviewcoldev,internal,500m,250m,512Mi,256Mi,2,True,/dataWebviewCol,secretWebviewCol,mapWebviewCol
Colombia,WebviewCol Project,WebviewCol,qa,https://github.com/empresa/webviewcol,Release,external,labelWebviewCol,1.0,token-webviewcoluat-bbb,namespace-webviewcoluat,internal,600m,300m,1Gi,512Mi,3,True,/dataWebviewCol,secretWebviewCol,mapWebviewCol
Colombia,WebviewCol Project,WebviewCol,master,https://github.com/empresa/webviewcol,Release,external,labelWebviewCol,1.0,token-webviewcolprd-ccc,namespace-webviewcolprd,external,700m,350m,2Gi,1Gi,4,True,/dataWebviewCol,secretWebviewCol,mapWebviewCol
Colombia,ColNewApp Project,ColNewApp,dev,https://github.com/empresa/colombianewapp,Release,internal,labelColNewApp,1.0,token-colnewappdev-abc,namespace-colnewappdev,internal,800m,400m,2Gi,1Gi,5,False,/dataColNewApp,secretColNewApp,mapColNewApp
Peru,CAnalyzerper Project,CAnalyzerper,dev,https://github.com/empresa/canalyzerper,Release,external,labelCAnalyzerper,1.0,token-canalyzerpercddev-111,namespace-canalyzerpercddev,internal,500m,250m,512Mi,256Mi,2,True,/dataCAnalyzerper,secretCAnalyzerper,mapCAnalyzerper
Peru,CAnalyzerper Project,CAnalyzerper,qa,https://github.com/empresa/canalyzerper,Release,external,labelCAnalyzerper,1.0,token-canalyzerpercuat-222,namespace-canalyzerpercuat,internal,600m,300m,1Gi,512Mi,3,True,/dataCAnalyzerper,secretCAnalyzerper,mapCAnalyzerper
Peru,CAnalyzerper Project,CAnalyzerper,master,https://github.com/empresa/canalyzerper,Release,external,labelCAnalyzerper,1.0,token-canalyzerperprd-333,namespace-canalyzerperprd,external,700m,350m,2Gi,1Gi,4,True,/dataCAnalyzerper,secretCAnalyzerper,mapCAnalyzerper
Peru,PerNewApp Project,PerNewApp,dev,https://github.com/empresa/perunewapp,Release,internal,labelPerNewApp,1.0,token-pernewappdev-777,namespace-pernewappdev,internal,800m,400m,2Gi,1Gi,5,False,/dataPerNewApp,secretPerNewApp,mapPerNewApp
